user_id,filtered_count,reference_count,difference,percent_change
06affdd6-cb3e-4adf-846d-aabdcd93504b,68,72,-4,-5.555555555555555
06c73f51-fc27-4e1a-a0d9-f306c998fed4,43,43,0,0.0
06dccd30-8a93-4484-97e5-d133f3a9d005,42,75,-33,-44.0
06de26ca-074f-445f-a744-0da61b1ea569,127,127,0,0.0
06f45c57-bb42-48e3-9c32-754edc2fe9a0,51,51,0,0.0
07023fee-ebf9-4b67-8b3b-5ded183215df,22,22,0,0.0
070a05df-27d0-4ab1-825a-c5952628a470,19,20,-1,-5.0
07139cf0-5910-4d0e-aafe-05c1d8c3974a,27,27,0,0.0
07250b4c-540d-474d-be81-6e9e65149a42,94,94,0,0.0
074c0860-bede-4402-b558-d691cdad124d,270,271,-1,-0.36900369003690037
0759d629-7ba5-4360-b940-eb3e7adf0368,61,61,0,0.0
07836fbc-7fe5-4492-8254-8c9b0e78a05c,49,49,0,0.0
079a4492-1abd-4b4a-8e74-aaf77f560d85,105,105,0,0.0
079b04db-ac0a-4466-ac93-4bf35d180063,39,39,0,0.0
07b56498-8d3a-4bb2-82ad-d60f41e4a7cf,63,74,-11,-14.864864864864865
07bc8230-006b-4918-9384-91d2936637c6,93,93,0,0.0
07d0bf11-9052-4557-baa2-0efb54750e57,28,28,0,0.0
07f54042-3d24-4a07-a594-b4bb5f3625df,31,31,0,0.0
